,PL,TEAMPLACE,YEAR,TEAM,SCORE,TIME,GAP,Avg. Mile,Avg. K,MEET,DATE,FIRSTNAME,LASTNAME
9,10,1,SR,Macalester College,10,16:40.1,0:44.1,5:21.5,3:20.0,Augsburg Open,2016,Lachlan,Hinwood
12,13,2,SO,Macalester College,13,16:50.9,0:54.9,5:25.0,3:22.2,Augsburg Open,2016,Spencer,Grant
15,16,3,SO,Macalester College,16,16:56.4,1:00.4,5:26.8,3:23.3,Augsburg Open,2016,Chris,Boranian
16,17,4,FR,Macalester College,17,17:01.3,1:05.3,5:28.4,3:24.2,Augsburg Open,2016,Jake,Lepak
17,18,5,SO,Macalester College,18,17:02.1,1:06.1,5:28.6,3:24.4,Augsburg Open,2016,Mac,Doherty
26,27,6,FR,Macalester College,26,17:13.7,1:17.7,5:32.4,3:26.7,Augsburg Open,2016,Henry,Harper
37,38,7,SO,Macalester College,32,17:32.1,1:36.1,5:38.3,3:30.4,Augsburg Open,2016,Sam,Richmond
45,46,8,FR,Macalester College,--,17:46.4,1:50.4,5:42.9,3:33.3,Augsburg Open,2016,Peter,Jarka-Sellers
46,47,9,SO,Macalester College,--,17:49.0,1:53.0,5:43.7,3:33.8,Augsburg Open,2016,Ethan,Engberg
48,49,10,FR,Macalester College,--,17:54.5,1:58.5,5:45.5,3:34.9,Augsburg Open,2016,Ben,Bildsten
55,56,11,SR,Macalester College,--,18:13.7,2:17.7,5:51.7,3:38.7,Augsburg Open,2016,Kemal,Kirchmeier
58,59,12,SR,Macalester College,--,18:35.1,2:39.1,5:58.5,3:43.0,Augsburg Open,2016,Spencer,Nelson
60,61,13,FR,Macalester College,--,18:44.9,2:48.9,6:01.7,3:45.0,Augsburg Open,2016,Sam,O'Donnell-Hoff
64,65,14,JR,Macalester College,--,19:08.4,3:12.4,6:09.3,3:49.7,Augsburg Open,2016,Kai,Heen
65,66,15,SO,Macalester College,--,19:10.9,3:14.9,6:10.1,3:50.2,Augsburg Open,2016,Mason,Martinez
66,67,16,FR,Macalester College,--,19:20.7,3:24.7,6:13.2,3:52.1,Augsburg Open,2016,Armando,Hernandez
68,69,17,JR,Macalester College,--,19:25.4,3:29.4,6:14.7,3:53.1,Augsburg Open,2016,Alex,Gordon
71,72,18,JR,Macalester College,--,19:47.0,3:51.0,6:21.6,3:57.4,Augsburg Open,2016,Will,Feeney
72,73,19,SR,Macalester College,--,19:56.8,4:00.8,6:24.8,3:59.4,Augsburg Open,2016,Seth,Loeffler-Kemp
76,77,20,FR,Macalester College,--,20:50.0,4:54.0,6:41.9,4:10.0,Augsburg Open,2016,Rob,Stokes
