,PL,TEAMPLACE,LASTNAME,FIRSTNAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,MEET,DATE,5k,600m,1k,2k,2.25k,2.5 Miles,4.25k,5.5k,7k,7.25k,Unnamed: 0,GAP,Avg. K,1K,2.4,4.45,8k,PACE,1 Mile,3300,3 Mile,6.5,Finish,3.3k,6.5k,1M,3k,4M,2.4K,4.5K,7K,3K,5.8K
7,8,1,Hinwood, Lachlan,SR-4,Macalester,5:27.0,27:05.5,7,River Falls,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,2,Grant, Spencer,SO-2,Macalester,5:34.5,27:42.7,11,River Falls,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,3,Harper, Henry,FR-1,Macalester,5:35.3,27:46.9,15,River Falls,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,4,Boranian, Chris,SO-2,Macalester,5:37.5,27:57.6,18,River Falls,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,5,Lepak, Jake,FR-1,Macalester,5:39.5,28:07.7,22,River Falls,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,6,Doherty, James,SO-2,Macalester,5:47.5,28:47.7,36,River Falls,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45,7,Richmond, Sam,SO-2,Macalester,5:52.5,29:12.4,42,River Falls,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,8,Engberg, Ethan,SO-2,Macalester,5:52.9,29:14.2,,River Falls,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,9,Bildsten, Ben,FR-1,Macalester,5:53.7,29:18.2,,River Falls,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,54,10,Nelson, Spencer,SR-4,Macalester,6:02.1,30:00.0,,River Falls,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55,11,Townsend, Ben,FR-1,Macalester,6:03.0,30:04.8,,River Falls,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56,12,Kirchmeier, Kemal,SR-4,Macalester,6:04.6,30:12.8,,River Falls,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,57,13,O'Donnell-Hoff, Sam,FR-1,Macalester,6:06.1,30:20.0,,River Falls,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,64,14,Gordon, Alex,JR-3,Macalester,6:14.2,31:00.3,,River Falls,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,72,15,Martinez, Mason,SO-2,Macalester,6:23.5,31:46.7,,River Falls,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,75,16,Hernandez, Armando,FR-1,Macalester,6:25.9,31:58.4,,River Falls,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,83,17,Loeffler-Kemp, Seth,SR-4,Macalester,6:40.5,33:11.2,,River Falls,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,86,18,Feeney, Will,JR-3,Macalester,6:43.4,33:25.7,,River Falls,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,91,19,Stokes, Rob,FR-1,Macalester,6:58.0,34:38.0,,River Falls,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,1,Grant, Spencer,SO-2,Macalester,5:25,21:44,4,Summit Cup,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,2,Hinwood, Lachlan,SR-4,Macalester,5:26,21:48,5,Summit Cup,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,3,Boranian, Chris,SO-2,Macalester,5:30,22:03,7,Summit Cup,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,4,Doherty, James,SO-2,Macalester,5:38,22:34,11,Summit Cup,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,5,Harper, Henry,FR-1,Macalester,5:38,22:35,12,Summit Cup,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,6,Lepak, Jake,FR-1,Macalester,5:39,22:37,13,Summit Cup,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,7,Mac, Mac,FR,Macalester,5:46,23:08,14,Summit Cup,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,8,Engberg, Ethan,SO-2,Macalester,5:47,23:09,,Summit Cup,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,9,Richmond, Sam,SO-2,Macalester,5:53,23:34,,Summit Cup,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,10,Nelson, Spencer,SR-4,Macalester,5:53,23:35,,Summit Cup,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,11,Jarka-Sellers, Peter,FR-1,Macalester,5:54,23:39,,Summit Cup,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,12,Kirchmeier, Kemal,SR-4,Macalester,5:58,23:54,,Summit Cup,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,13,Bildsten, Ben,FR-1,Macalester,6:01,24:06,,Summit Cup,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33,14,Townsend, Ben,FR-1,Macalester,6:05,24:21,,Summit Cup,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,15,O'Donnell-Hoff, Sam,FR-1,Macalester,6:12,24:52,,Summit Cup,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,16,Heen, Kai,JR-3,Macalester,6:19,25:19,,Summit Cup,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
